center,left,right,steering,throttle,brake,speed
IMG/center_2017_02_08_18_21_35_538.jpg, IMG/left_2017_02_08_18_21_35_538.jpg, IMG/right_2017_02_08_18_21_35_538.jpg,-0.1994599,0.0,0.0,17.55766
IMG/center_2017_02_08_18_21_35_740.jpg, IMG/left_2017_02_08_18_21_35_740.jpg, IMG/right_2017_02_08_18_21_35_740.jpg,-0.5563272,0.4309414,0.0,17.07962
IMG/center_2017_02_08_18_21_36_041.jpg, IMG/left_2017_02_08_18_21_36_041.jpg, IMG/right_2017_02_08_18_21_36_041.jpg,-0.5852624,0.9807099,0.0,16.9271
IMG/center_2017_02_08_18_21_37_048.jpg, IMG/left_2017_02_08_18_21_37_048.jpg, IMG/right_2017_02_08_18_21_37_048.jpg,-0.4888117,0.0,0.0,15.10581
IMG/center_2017_02_08_18_21_40_274.jpg, IMG/left_2017_02_08_18_21_40_274.jpg, IMG/right_2017_02_08_18_21_40_274.jpg,-0.2862654,0.9999623,0.0,15.41717
IMG/center_2017_02_08_18_21_40_780.jpg, IMG/left_2017_02_08_18_21_40_780.jpg, IMG/right_2017_02_08_18_21_40_780.jpg,0.3875386,0.9999623,0.0,17.95786
IMG/center_2017_02_08_18_21_46_733.jpg, IMG/left_2017_02_08_18_21_46_733.jpg, IMG/right_2017_02_08_18_21_46_733.jpg,0.5041835,0.9999623,0.0,14.65278
IMG/center_2017_02_08_18_21_47_542.jpg, IMG/left_2017_02_08_18_21_47_542.jpg, IMG/right_2017_02_08_18_21_47_542.jpg,0.4166998,0.6141976,0.0,17.55934
IMG/center_2017_02_08_18_21_48_351.jpg, IMG/left_2017_02_08_18_21_48_351.jpg, IMG/right_2017_02_08_18_21_48_351.jpg,0.04732411,0.9999623,0.0,21.19563
IMG/center_2017_02_08_18_21_49_159.jpg, IMG/left_2017_02_08_18_21_49_159.jpg, IMG/right_2017_02_08_18_21_49_159.jpg,-0.2380401,0.681713,0.0,24.40926
IMG/center_2017_02_08_18_21_49_260.jpg, IMG/left_2017_02_08_18_21_49_260.jpg, IMG/right_2017_02_08_18_21_49_260.jpg,0.2417324,0.7395833,0.0,25.22233
IMG/center_2017_02_08_18_21_50_673.jpg, IMG/left_2017_02_08_18_21_50_673.jpg, IMG/right_2017_02_08_18_21_50_673.jpg,0.1736895,0.9999623,0.0,30.21081
IMG/center_2017_02_08_18_21_54_506.jpg, IMG/left_2017_02_08_18_21_54_506.jpg, IMG/right_2017_02_08_18_21_54_506.jpg,0.2222915,0.0,0.0,25.10051
IMG/center_2017_02_08_18_21_55_410.jpg, IMG/left_2017_02_08_18_21_55_410.jpg, IMG/right_2017_02_08_18_21_55_410.jpg,0.5236244,0.0,0.0,24.4035
IMG/center_2017_02_08_18_21_56_717.jpg, IMG/left_2017_02_08_18_21_56_717.jpg, IMG/right_2017_02_08_18_21_56_717.jpg,0.2611732,0.9999623,0.0,28.49449
IMG/center_2017_02_08_18_21_57_422.jpg, IMG/left_2017_02_08_18_21_57_422.jpg, IMG/right_2017_02_08_18_21_57_422.jpg,0.1834099,0.0,0.0,29.90483
IMG/center_2017_02_08_18_21_58_328.jpg, IMG/left_2017_02_08_18_21_58_328.jpg, IMG/right_2017_02_08_18_21_58_328.jpg,-0.01620371,0.9999623,0.0,29.87737
IMG/center_2017_02_08_18_21_58_529.jpg, IMG/left_2017_02_08_18_21_58_529.jpg, IMG/right_2017_02_08_18_21_58_529.jpg,-0.3344907,0.9999623,0.0,30.24001
IMG/center_2017_02_08_18_21_59_031.jpg, IMG/left_2017_02_08_18_21_59_031.jpg, IMG/right_2017_02_08_18_21_59_031.jpg,0.4361407,0.5659722,0.0,30.22543
IMG/center_2017_02_08_18_22_00_437.jpg, IMG/left_2017_02_08_18_22_00_437.jpg, IMG/right_2017_02_08_18_22_00_437.jpg,-0.4888117,0.9999623,0.0,30.18657
IMG/center_2017_02_08_18_22_03_255.jpg, IMG/left_2017_02_08_18_22_03_255.jpg, IMG/right_2017_02_08_18_22_03_255.jpg,-0.3055556,0.9999623,0.0,29.59827
IMG/center_2017_02_08_18_22_05_971.jpg, IMG/left_2017_02_08_18_22_05_971.jpg, IMG/right_2017_02_08_18_22_05_971.jpg,-0.4888117,0.9999623,0.0,30.15602
IMG/center_2017_02_08_18_22_07_279.jpg, IMG/left_2017_02_08_18_22_07_279.jpg, IMG/right_2017_02_08_18_22_07_279.jpg,-0.03549383,0.9999623,0.0,30.19389
IMG/center_2017_02_08_18_22_07_784.jpg, IMG/left_2017_02_08_18_22_07_784.jpg, IMG/right_2017_02_08_18_22_07_784.jpg,-0.21875,0.9517747,0.0,30.1603
IMG/center_2017_02_08_18_22_08_591.jpg, IMG/left_2017_02_08_18_22_08_591.jpg, IMG/right_2017_02_08_18_22_08_591.jpg,-0.2862654,0.9999623,0.0,29.60493
IMG/center_2017_02_08_18_22_08_691.jpg, IMG/left_2017_02_08_18_22_08_691.jpg, IMG/right_2017_02_08_18_22_08_691.jpg,-0.5563272,0.9999623,0.0,30.12619
IMG/center_2017_02_08_18_22_11_011.jpg, IMG/left_2017_02_08_18_22_11_011.jpg, IMG/right_2017_02_08_18_22_11_011.jpg,0.008442446,0.0,0.0,27.35728
IMG/center_2017_02_08_18_22_12_522.jpg, IMG/left_2017_02_08_18_22_12_522.jpg, IMG/right_2017_02_08_18_22_12_522.jpg,0.2222915,0.5949074,0.0,23.11376
IMG/center_2017_02_08_18_22_14_037.jpg, IMG/left_2017_02_08_18_22_14_037.jpg, IMG/right_2017_02_08_18_22_14_037.jpg,-0.4695216,0.9999623,0.0,28.68284
IMG/center_2017_02_08_18_22_14_943.jpg, IMG/left_2017_02_08_18_22_14_943.jpg, IMG/right_2017_02_08_18_22_14_943.jpg,0.04732411,0.0,0.0,29.02291
IMG/center_2017_02_08_18_22_15_144.jpg, IMG/left_2017_02_08_18_22_15_144.jpg, IMG/right_2017_02_08_18_22_15_144.jpg,0.4847427,0.1319444,0.0,29.60662
